State,District,Latitude,Longitude,State type
Uttarakhand,Bageshwar,29.85,79.77,State
Uttarakhand,Chamoli,30.42,79.33,State
Uttarakhand,Champawat,29.33,80.1,State
Uttarakhand,Dehradun,30.33,78.06,State
Uttarakhand,Haridwar,29.96,78.16,State
Uttarakhand,Nainital,29.333333,79.5,State
Uttarakhand,Pauri,30.15,78.78,State
Uttarakhand,Pithoragarh,30,80.333333,State
Uttarakhand,Rudraprayag,30.28,78.98,State
Uttarakhand,Tehri,30.38,78.48,State
Uttarakhand,Udham Singh Nagar,28.98,79.4,State
Uttarakhand,Uttarkashi,30.73,78.45,State
West Bengal,Alipurduar,26.489,89.527,State
West Bengal,Bankura,23.25,87.07,State
West Bengal,Birbhum,23.8402,87.6186,State
West Bengal,Cooch Behar,26.32419,89.45103,State
West Bengal,Dakshin Dinajpur,25.22,88.76,State
West Bengal,Darjeeling,27.03,88.16,State
West Bengal,Hooghly,22.9,88.39,State
West Bengal,Howrah,22.59577,88.263641,State
West Bengal,Jalpaiguri,26.7,89,State
West Bengal,Jhargram,22.45,86.98,State
West Bengal,Kalimpong,27.06,88.47,State
West Bengal,Kolkata,22.569722,88.369722,State
West Bengal,Malda,25,88.15,State
West Bengal,Murshidabad,24.14,88.26,State
West Bengal,Nadia,23.4,88.5,State
West Bengal,North 24 Parganas,22.13,88.5,State
West Bengal,Paschim Bardhaman,23.68,86.99,State
West Bengal,Paschim Medinipur,22.424,87.319,State
West Bengal,Purba Bardhaman,23.233333,87.866667,State
West Bengal,Purba Medinipur,22.3,87.92,State
West Bengal,Purulia,23.333333,86.366667,State
West Bengal,South 24 Parganas,22.53,88.33,State
West Bengal,Uttar Dinajpur,25.62,88.12,State
Mizoram,Hnahthial,22.91,92.76,State
Mizoram,Khawzawl,23.5345,93.183,State
Mizoram,Saitual,23.68963,92.95567,State
